rank,year,title,keyword,author.no,affl.no,max_dist(m)
3495,2008,Fire frequency and tree canopy structure influence plant species diversity in a forest-grassland ecotone,Community heterogeneity; Intermediate disturbance hypothesis; Oak savanna; Oak woodland; Prescribed fire; Species richness,2,2,0
3496,2007,Plant functional group responses to fire frequency and tree canopy cover gradients in oak savannas and woodlands,Cedar creek natural history area; Disturbance ecology; Fire ecology; Forb; Grass; Prescribed fire; Savanna restoration; Woody plant,3,2,0
3497,1999,"Effects of multiple vertebrate predators on grasshopper habitat selection: trade-offs due to predation risk, foraging, and thermoregulation",Behavior; Birds; Grasshoppers; Habitat selection; Lizards; Minnesota; Predation risk,1,1,0
3498,2001,Density of prairie skinks (Eumeces septentrionalis) in old-field habitats,NA,1,1,0
3499,2009,Leaf phosphorus influences the photosynthesis-nitrogen relation: a cross-biome analysis of 314 species,Carbon exchange; Nutrient; Nutrition; Scaling; Tropic,3,3,0
3500,2007,Predicting leaf physiology from simple plant and climate attributes: A global GLOPNET analysis,Leaf life span; Nitrogen; Phosphorus; Photosynthesis; Plant functional type; Specific leaf area,3,2,0
3501,2015,Contrasting effects of plant species traits and moisture on the decomposition of multiple litter fractions,Cedar Creek; Decomposition; Hydrologic gradient; Plant traits; Salicaceae,5,3,0
3502,1998,Scale-dependent foraging and patch choice in fractal environments,Foraging; Fractal; Geometry; Landscape; Resources; Scale,1,1,0
3503,2000,Nitrogen limitation and trophic vs. abiotic influences on insect herbivores in a temperate grassland,Abiotic factors; Community regulation; Food limitation; Grasshoppers; Grasslands; Insects; Nitrogen; Predation; Temperature,1,1,0
3504,1993,Predictions of species interactions from consumer-resource theory: experimental tests with grasshoppers and plants,NA,2,2,0
3505,1995,Responses of Legumes to Herbivores and Nutrients during Succession on a Nitrogen-Poor Soil,NA,2,1,0
3506,2014,"Global biogeography of Streptomyces antibiotic inhibition, resistance, and resource use",Antibiotic resistance; Functional biogeography; Local adaptation; Species interactions; Streptomyces,2,1,0
3507,2018,No evidence for trade-offs in plant responses to consumer food web manipulations,arthropods; biodiversity; community ecology; ecosystem ecology; fungi; pathogens,3,1,0
3508,1999,"Abundance, diversity and body size: patterns from a grassland arthropod community",Abundance distributions; Allometry; Conservation; Insects; Minimum viable population sizes,3,2,0
3509,1987,Direct and Indirect Effects of Host-Plant Fertilization on an Insect Community,NA,1,1,0
3510,2008,High plant species diversity indirectly mitigates CO2- and N-induced effects on grasshopper growth,Global change; Growth efficiency; Insect herbivory; Neutral detergent fiber; Nitrogen concentration; Non-structural carbohydrates,3,2,0
3511,2000,A test of the effects of functional group richness and composition on grassland invasibility,"Cedar Creek Natural History Area; Community assembly; Community composition; Disturbance; Diversity; Ecosystem properties; Grassland; Invasion; Minnesota, USA; Plant functional groups",1,2,0
3512,2001,"Diversity loss, recruitment limitation, and ecosystem functioning: lessons learned from a removal experiment",NA,2,2,0
3513,2018,Nitrogen addition and ecosystem functioning: Both species abundances and traits alter community structure and function,Community structure; Community-weighted traits; Functional trait; Grassland ecology; Nutrient addition,2,1,0
3514,1985,The Resource-Ratio Hypothesis of Plant Succession,NA,1,1,0
3515,1992,Drought and biodiversity in Grasslands,Colonization; Diversity; Drought; Extinctions; Species richness,2,1,0
3516,1991,Dynamics of Nitrogen Competition between Successional Grasses,NA,2,1,0
3517,1986,Nitrogen-Limited Growth in Plants from Different Successional Stages,NA,1,1,0
3518,1987,Secondary Succession and the Pattern of Plant Dominance Along Experimental Nitrogen Gradients,NA,1,1,0
3519,1984,Plant Dominance Along an Experimental Nutrient Gradient,NA,1,1,0
3520,2014,"Nutrient overlap, genetic relatedness and spatial origin influence interaction-mediated shifts in inhibitory phenotype among Streptomyces spp",Altered inhibition; Interspecies interactions; Local selection,2,2,0
3521,2013,Impacts of trait variation through observed trait-climate relationships on performance of an Earth system model: A conceptual analysis,NA,9,6,0
3522,1993,Nitrogen mineralization dynamics in grass monocultures,Grasses; Monocultures; N mineralization; Soil organic matter,2,1,0
3523,1990,Species effects on nitrogen cycling: a test with perennial grasses,Grasses Litter quality; N mineralization; Nitrogen cycling; Species effects,2,1,0
3524,2017,An experimental test of fitness variation across a hydrologic gradient predicts willow and poplar species distributions,aster fitness models; environmental filtering; field experiment; functional traits; hydrologic niche segregation; phylogenetic signal; Salicaceae,4,2,0
3525,2015,Phenological responses of prairie plants vary among species and year in a three-year experimental warming study,Climate change; Flowering; Grassland; NDVI; Warming,5,2,0
3526,1991,Components of Plant Competition Along an Experimental Gradient of Nitrogen Availability,NA,2,1,0
3527,1991,Interactive effects of fertilization and disturbance on community structure and resource availability in an old-field plant community,Disturbance; Fertilization; Interactions; Nitrogen mineralization; Old-fields,2,1,0
3528,1993,Plant Competition and Resource Availability in Response to Disturbance and Fertilization,NA,2,1,0
3529,2003,Least-cost input mixtures of water and nitrogen for photosynthesis,Leaf economics; Nitrogen-use efficiency; Photosynthesis; Water-use efficiency,3,2,0
3530,2006,Conventional functional classification schemes underestimate the relationship with ecosystem functioning,Biodiversity; Classification; Complementarity; Ecosystem function; Functional groups; Sampling effect,7,5,0
3531,2012,"Forest productivity increases with evenness, species richness and trait variation: a global meta-analysis",Biomes; Boosted regression trees; Net diversity effect; Plant development and life-history traits; Productivity; Species evenness; Stand origins,3,3,0
3532,2006,Biological responses to environmental forcing: The Linear Tracking Window hypothesis,Ecosystem shifts; Environmental forcing; Generation time; Linear tracking; Nonlinear responses; Population dynamics,2,1,0
3533,2007,Evidence for phytoplankton iron limitation in the southern California Current System,California Current; Iron; Limitation; Phytoplankton; Trace metals,2,1,0
3534,2007,Abundance and size distribution dynamics of abyssal epibenthic megafauna in the Northeast Pacific,California Current Ecosystem (CCE); Climate; Deep sea; Echinoderm; Echinoid; Holothurian; Holothuroid; Long-term ecological research (LTER); Megafauna; Ophiuroid; Pelagic-benthic coupling; Time series,1,2,0
3535,2008,"Cetacean biomass, prey consumption, and primary production requirements in the California Current ecosystem",Biomass; California Current ecosystem; Cetaceans; Dolphins; Food web; Porpoises; Primary production; Trophic efficiency; Trophodynamics; Whales,3,2,0
3536,2008,Extending nonlinear analysis to short ecological time series,Composite time series; Dewdrop regression; Dimensionality; Forecasting; Nonlinearity; S-map,3,1,0
3537,2008,A new class of transparent organic particles in seawater visualized by a novel fluorescence approach,Aldan Blue; Seawater; SYBR Gold fluorescencebased visualization; Transparent organic particles,3,1,0
3538,2009,Temporal variation of Synechococcus clades at a coastal Pacific Ocean monitoring site,Biogeography; Cyanobacteria; Microbial diversity; Population ecology; Quantitative PCR,2,2,0
3539,2011,Impact of declining intermediate-water oxygen on deepwater fishes in the California Current,California Current; Climate change; Mesopelagic fishes; Oxygen; Oxygen-minimum zone,4,2,0
3540,2011,Microzooplankton grazing dynamics: parameterizing grazing models with dilution experiment data from the California Current Ecosystem,Grazing rates ? Microzooplankton ? California Current Ecosystem ? Dilution experiments,3,1,0
3541,2013,Genomic island genes in a coastal marine Synechococcus strain confer enhanced tolerance to copper and oxidative stress,Copper; Genomic islands; Horizontal gene transfer; Marine picocyanobacteria; Oxidative stress; Synechococcus,4,1,0
3542,2018,Phytoplankton biomass and size structure across trophic gradients in the southern California Current and adjacent ocean ecosystems,Enhanced microbial loop; Grazing; Ocean richness; Picoeukaryotes; Prochlorococcus; Synechococcus,2,1,0
3543,1987,Response of winter chemical defense in Alaska paper birch and green alder to manipulation of plant carbon/nutrient balance,Alder; Birch; Chemical defense; Plant carbon/nutrient balance; Snowshoe hare,4,2,0
3544,1987,Effect of nitrogen fertilization upon the secondary chemistry and nutritional value of quaking aspen (Populus tremuloides (Michx.) leaves for the large aspen tortrix (Choristoneura conflictana (Walker)),Carbon/nutrient balance; Choristoneura conflictana; Plant/herbivore interaction; Populus tremuloides; Secondary metabolite,5,3,0
3545,1989,"A computer model of the solar radiation, soil moisture, and soil thermal regimes in boreal forests",NA,1,1,0
3546,1989,Environmental factors and ecological processes controlling vegetation patterns in boreal forests,boreal forest; forest dynamics; gap model,1,1,0
3547,1989,Competitive ability and adaptation to fertile and infertile soils in two Eriophorum species,NA,2,1,0
3548,1990,"Interaction between moisture, nutrients, and growth of white spruce in interior Alaska",NA,3,1,0
3549,1991,Costs of reproduction in a willow: Experimental responses vs. natural variation,NA,2,1,0
3550,1991,Carbon/nutrient balance as a predictor of plant defense in Alaskan balsam poplar: potential importance of metabolite turnover,Balsam poplar; Carbon/nutrient balance hypothesis; Plant defense; Snowshoe hare,5,2,0
3551,1993,Effects of mineral nutrition on delayed inducible resistance in Alaska paper birch,NA,4,1,0
3552,1994,Biogeography of woody plant chemical defense against snowshoe hare browsing: Comparison of Alaska and eastern North America,NA,4,1,0
3553,1995,Slight tissue wounding fails to induce consistent chemical defense in three willow (Salix spp.) clones,Induced defense; Salicaceae; Secondary phenolics; Tissue wounding; Willows,4,2,0
3554,1995,Domestic geese: Biological weed control in an agricultural setting,NA,1,1,0
3555,1996,Spatial prediction of climatic state factor regions in Alaska,Alaska; Climate zones; Climatic state factors; Spatial interpolation; Universal kriging,2,1,0
3556,1996,Delayed inducible resistance in mountain birch in response to fertilization and shade,Betula pubescens ssp. Tortuosa; Carbon nutrient balance hypothesis; Condensed tannins; Delayed inducible resistance; Epirrita autumnata; Fertilization; Larval performance; Manual defoliation; Nitrogen; Shading; Total phenolics,5,2,0
3557,1996,Model of transient changes in arctic and boreal vegetation in response to climate and land use change,Arctic; Boreal forest; Climatic change; Fire; Insects; Model; Transient dynamics; Tree line,2,2,0
3558,1997,Role of free amino acids in the nitrogen economy of arctic cryptogams,Amino acids; Arctic ecosystems; Cryptogams; Nutrient uptake; Organic nitrogen; Tundra soils,1,1,0
3559,1997,Effects of above-ground browsing by mammals on mycorrhizal infection in an early successional taiga ecosystem,Floodplain; Mycorrhizal infection; Primary succession; Taiga forest; Vertebrate herbivory,3,2,0
3560,1997,Nitrogen productivity of Alaskan tree species at an individual tree and landscape level,Aboveground production; Alaska; Aspen; Balsam poplar; Landscape; N productivity; Taiga; White birch; White spruce,1,1,0
